Estado,Municipio,CP,Colonia,latitude,longitude
DF,Alvaro Obregon,01000,San Angel,19.36002,-99.193492
DF,Alvaro Obregon,01010,Los Alpes,19.36001,-99.193493
DF,Alvaro Obregon,01020,Guadalupe Inn,19.357245,-99.187141
DF,Alvaro Obregon,01029,INFONAVIT,19.357605,-99.181188
DF,Alvaro Obregon,01030,Florida,19.357605,-99.181188
DF,Alvaro Obregon,01030,Axotla,19.357605,-99.181188
DF,Alvaro Obregon,01040,Campestre,19.35557,-99.193298
DF,Alvaro Obregon,01048,Las Aguilas,19.36667,-99.2
DF,Alvaro Obregon,01049,Tlacopac,19.35363,-99.197277
DF,Alvaro Obregon,01050,Ex-Hacienda de Guadalupe Chimalistac,19.35363,-99.197277
DF,Alvaro Obregon,01060,Altavista,19.34782,-99.199792
DF,Alvaro Obregon,01060,San Angel Inn,19.34782,-99.199792
DF,Alvaro Obregon,01070,Chimalistac,19.343885,-99.186296
DF,Alvaro Obregon,01080,Progreso Tizapan,19.334985,-99.204978
DF,Alvaro Obregon,01089,Ermita Tizapan,19.337695,-99.201708
DF,Alvaro Obregon,01090,Loreto,19.33983,-99.197322
DF,Alvaro Obregon,01090,Tizapan,19.33983,-99.197322
DF,Alvaro Obregon,01090,La Otra Banda,19.33983,-99.197322
DF,Alvaro Obregon,01100,Polvora,19.33983,-99.197322
DF,Alvaro Obregon,01109,La Conchita,19.391415,-99.20881
DF,Alvaro Obregon,01110,Ampliacion El Capulin,19.39415,-99.213055
DF,Alvaro Obregon,01110,Belem de las Flores,19.39415,-99.213055
DF,Alvaro Obregon,01110,El Capulin,19.39415,-99.213055
DF,Alvaro Obregon,01110,Liberales de 1857,19.39415,-99.213055
DF,Alvaro Obregon,01120,Cove,19.40059,-99.198199
DF,Alvaro Obregon,01120,Acueducto,19.40059,-99.198199
DF,Alvaro Obregon,01120,Hidalgo,19.40059,-99.198199
DF,Alvaro Obregon,01120,Las Americas,19.40059,-99.198199
DF,Alvaro Obregon,01125,Ampliacion Acueducto,19.39792,-99.203253
DF,Alvaro Obregon,01130,Molino de Santo Domingo,19.396,-99.201942
DF,Alvaro Obregon,01130,Paraiso,19.396,-99.201942
DF,Alvaro Obregon,01130,Real del Monte,19.396,-99.201942
DF,Alvaro Obregon,01139,Reacomodo Pino Suarez,19.394035,-99.20752
DF,Alvaro Obregon,01140,Bellavista,19.39715,-99.193381
DF,Alvaro Obregon,01140,Jose Maria Pino Suarez,19.39715,-99.193381
